model,WEEK_NUM,week_index,n,n_bad,n_good,bad_rate,auc,gini,trend_gini,residual
hist_gradient_boosting,87,14,17886,329,17557,0.018394274851839428,0.8538685892048011,0.7077371784096023,0.6640961825214324,0.04364099588816983
hist_gradient_boosting,88,15,14234,265,13969,0.018617394969790643,0.8464020735942256,0.6928041471884512,0.6668270934807441,0.025977053707707087
hist_gradient_boosting,89,16,13600,309,13291,0.022720588235294117,0.8245785952924809,0.6491571905849618,0.6695580044400556,-0.020400813855093847
hist_gradient_boosting,90,17,12103,330,11773,0.027265967115591174,0.81842235315012,0.63684470630024,0.6722889153993673,-0.035444209099127266
hist_gradient_boosting,91,18,12674,288,12386,0.02272368628688654,0.8498455917971903,0.6996911835943807,0.6750198263586789,0.024671357235701796
catboost,73,0,8687,189,8498,0.021756647864625302,0.8094136061893181,0.6188272123786362,0.6187341353329842,9.307704565209018e-05
catboost,74,1,11280,303,10977,0.026861702127659575,0.8178784262684263,0.6357568525368527,0.6214866988158053,0.01427015372104734
catboost,75,2,13656,290,13366,0.02123608670181605,0.8277216509207614,0.6554433018415229,0.6242392622986264,0.031204039542896522
catboost,76,3,10261,255,10006,0.024851379007893967,0.8342253471446545,0.6684506942893089,0.6269918257814475,0.0414588685078614
catboost,77,4,7754,197,7557,0.025406241939644053,0.7978584416639964,0.5957168833279929,0.6297443892642686,-0.03402750593627568
catboost,78,5,8755,195,8560,0.02227298686464877,0.845968128444764,0.691936256889528,0.6324969527470897,0.059439304142438254
catboost,79,6,5158,112,5046,0.021713842574641335,0.8199564011097898,0.6399128022195797,0.6352495162299109,0.004663285989668808
catboost,80,7,6246,120,6126,0.01921229586935639,0.7823688649472195,0.5647377298944389,0.6380020797127319,-0.073264349818293
catboost,81,8,6743,188,6555,0.02788076523802462,0.7951352711102455,0.590270542220491,0.6407546431955531,-0.05048410097506206
catboost,82,9,5423,122,5301,0.022496773003872397,0.7826685963984527,0.5653371927969053,0.6435072066783741,-0.07817001388146883
catboost,83,10,7295,156,7139,0.021384509938313912,0.817720286903646,0.6354405738072919,0.6462597701611953,-0.010819196353903382
catboost,84,11,9721,216,9505,0.022219936220553443,0.7950457361622536,0.5900914723245072,0.6490123336440164,-0.05892086131950924
catboost,85,12,16239,308,15931,0.018966685140710635,0.8471786201370031,0.6943572402740061,0.6517648971268375,0.04259234314716864
catboost,86,13,15630,277,15353,0.017722328854766475,0.8663001927444653,0.7326003854889307,0.6545174606096587,0.07808292487927204
catboost,87,14,17886,329,17557,0.018394274851839428,0.8507693482262637,0.7015386964525274,0.6572700240924797,0.04426867236004772
catboost,88,15,14234,265,13969,0.018617394969790643,0.8393696554500059,0.6787393109000117,0.6600225875753009,0.01871672332471086
catboost,89,16,13600,309,13291,0.022720588235294117,0.8203775141413793,0.6407550282827585,0.662775151058122,-0.02202012277536347
catboost,90,17,12103,330,11773,0.027265967115591174,0.8129760185735724,0.6259520371471448,0.6655277145409431,-0.0395756773937983
catboost,91,18,12674,288,12386,0.02272368628688654,0.8503863569083373,0.7007727138166746,0.6682802780237642,0.03249243579291039
logistic_woe,73,0,8687,189,8498,0.021756647864625302,0.766509642480459,0.5330192849609181,0.528246026667648,0.004773258293270133
logistic_woe,74,1,11280,303,10977,0.026861702127659575,0.7734003381207211,0.5468006762414421,0.531294996252085,0.015505679989357146
logistic_woe,75,2,13656,290,13366,0.02123608670181605,0.785072004623156,0.5701440092463119,0.534343965836522,0.03580004340978993
logistic_woe,76,3,10261,255,10006,0.024851379007893967,0.7998026674191564,0.5996053348383128,0.537392935420959,0.06221239941735379
logistic_woe,77,4,7754,197,7557,0.025406241939644053,0.7508626486083095,0.5017252972166191,0.5404419050053959,-0.038716607788776836
logistic_woe,78,5,8755,195,8560,0.02227298686464877,0.8117601246105919,0.6235202492211838,0.5434908745898329,0.08002937463135085
logistic_woe,79,6,5158,112,5046,0.021713842574641335,0.7631628305305476,0.5263256610610951,0.5465398441742699,-0.0202141831131748
logistic_woe,80,7,6246,120,6126,0.01921229586935639,0.7172346011535531,0.4344692023071062,0.5495888137587069,-0.11511961145160077
logistic_woe,81,8,6743,188,6555,0.02788076523802462,0.7421697745751983,0.48433954915039656,0.552637783343144,-0.06829823419274739
logistic_woe,82,9,5423,122,5301,0.022496773003872397,0.73803349816459,0.4760669963291799,0.555686752927581,-0.07961975659840104
logistic_woe,83,10,7295,156,7139,0.021384509938313912,0.7727829438153014,0.5455658876306029,0.5587357225120179,-0.013169834881414988
logistic_woe,84,11,9721,216,9505,0.022219936220553443,0.7674985874880667,0.5349971749761333,0.5617846920964549,-0.02678751712032157
logistic_woe,85,12,16239,308,15931,0.018966685140710635,0.8101993418043885,0.6203986836087769,0.5648336616808919,0.05556502192788504
logistic_woe,86,13,15630,277,15353,0.017722328854766475,0.8240700614492023,0.6481401228984045,0.5678826312653289,0.0802574916330756
logistic_woe,87,14,17886,329,17557,0.018394274851839428,0.8067711023045563,0.6135422046091126,0.5709316008497659,0.042610603759346666
logistic_woe,88,15,14234,265,13969,0.018617394969790643,0.7883793899429599,0.5767587798859197,0.5739805704342029,0.0027782094517168066
logistic_woe,89,16,13600,309,13291,0.022720588235294117,0.7769089188269844,0.5538178376539689,0.5770295400186398,-0.02321170236467096
logistic_woe,90,17,12103,330,11773,0.027265967115591174,0.7802566993300026,0.5605133986600053,0.5800785096030768,-0.019565110943071562
logistic_woe,91,18,12674,288,12386,0.02272368628688654,0.8041489775642751,0.6082979551285501,0.5831274791875138,0.025170475941036274
ensemble_lightgbm_catboost,73,0,8687,189,8498,0.021756647864625302,0.815215158001696,0.6304303160033919,0.6279966378915097,0.0024336781118822204
ensemble_lightgbm_catboost,74,1,11280,303,10977,0.026861702127659575,0.8228537256567963,0.6457074513135925,0.6306825391939758,0.015024912119616762
ensemble_lightgbm_catboost,75,2,13656,290,13366,0.02123608670181605,0.8290941503660858,0.6581883007321716,0.6333684404964417,0.024819860235729907
ensemble_lightgbm_catboost,76,3,10261,255,10006,0.024851379007893967,0.8372243320674262,0.6744486641348524,0.6360543417989077,0.03839432233594464
ensemble_lightgbm_catboost,77,4,7754,197,7557,0.025406241939644053,0.8016784787560395,0.603356957512079,0.6387402431013737,-0.03538328558929471
ensemble_lightgbm_catboost,78,5,8755,195,8560,0.02227298686464877,0.8517792954708842,0.7035585909417683,0.6414261444038397,0.0621324465379286
ensemble_lightgbm_catboost,79,6,5158,112,5046,0.021713842574641335,0.8276605231866825,0.655321046373365,0.6441120457063056,0.011209000667059321
ensemble_lightgbm_catboost,80,7,6246,120,6126,0.01921229586935639,0.7890684514092937,0.5781369028185874,0.6467979470087717,-0.06866104419018426
ensemble_lightgbm_catboost,81,8,6743,188,6555,0.02788076523802462,0.7974138630572731,0.5948277261145463,0.6494838483112376,-0.05465612219669136
ensemble_lightgbm_catboost,82,9,5423,122,5301,0.022496773003872397,0.7868821533827517,0.5737643067655034,0.6521697496137037,-0.07840544284820028
ensemble_lightgbm_catboost,83,10,7295,156,7139,0.021384509938313912,0.8234723673860809,0.6469447347721617,0.6548556509161697,-0.007910916144007962
ensemble_lightgbm_catboost,84,11,9721,216,9505,0.022219936220553443,0.8005243341710991,0.6010486683421983,0.6575415522186356,-0.05649288387643736
ensemble_lightgbm_catboost,85,12,16239,308,15931,0.018966685140710635,0.8507606259787542,0.7015212519575085,0.6602274535211017,0.04129379843640679
ensemble_lightgbm_catboost,86,13,15630,277,15353,0.017722328854766475,0.8650078619143566,0.7300157238287133,0.6629133548235676,0.06710236900514566
ensemble_lightgbm_catboost,87,14,17886,329,17557,0.018394274851839428,0.8536791930685861,0.7073583861371722,0.6655992561260337,0.04175913001113851
ensemble_lightgbm_catboost,88,15,14234,265,13969,0.018617394969790643,0.846264977571631,0.692529955143262,0.6682851574284996,0.0242447977147624
ensemble_lightgbm_catboost,89,16,13600,309,13291,0.022720588235294117,0.8256047903550083,0.6512095807100167,0.6709710587309656,-0.019761478020948964
ensemble_lightgbm_catboost,90,17,12103,330,11773,0.027265967115591174,0.8186137258081537,0.6372274516163074,0.6736569600334316,-0.03642950841712411
ensemble_lightgbm_catboost,91,18,12674,288,12386,0.02272368628688654,0.8528146137215853,0.7056292274431706,0.6763428613358976,0.029286366107272976
ensemble_lightgbm_xgboost_catboost,73,0,8687,189,8498,0.021756647864625302,0.8138447764242067,0.6276895528484134,0.6273205107671845,0.0003690420812288986
ensemble_lightgbm_xgboost_catboost,74,1,11280,303,10977,0.026861702127659575,0.8226994877678531,0.6453989755357061,0.630070805839519,0.01532816969618711
ensemble_lightgbm_xgboost_catboost,75,2,13656,290,13366,0.02123608670181605,0.8289372932866202,0.6578745865732405,0.6328211009118535,0.025053485661386987
ensemble_lightgbm_xgboost_catboost,76,3,10261,255,10006,0.024851379007893967,0.8372501989002676,0.6745003978005353,0.6355713959841879,0.0389290018163474
ensemble_lightgbm_xgboost_catboost,77,4,7754,197,7557,0.025406241939644053,0.8002195161107227,0.6004390322214455,0.6383216910565224,-0.03788265883507691
ensemble_lightgbm_xgboost_catboost,78,5,8755,195,8560,0.02227298686464877,0.8527707884016296,0.7055415768032591,0.6410719861288569,0.06446959067440228
ensemble_lightgbm_xgboost_catboost,79,6,5158,112,5046,0.021713842574641335,0.8273827218164317,0.6547654436328634,0.6438222812011913,0.010943162431672038
ensemble_lightgbm_xgboost_catboost,80,7,6246,120,6126,0.01921229586935639,0.7905035912504081,0.5810071825008163,0.6465725762735257,-0.06556539377270942
ensemble_lightgbm_xgboost_catboost,81,8,6743,188,6555,0.02788076523802462,0.7981344434165896,0.5962688868331791,0.6493228713458602,-0.05305398451268106
ensemble_lightgbm_xgboost_catboost,82,9,5423,122,5301,0.022496773003872397,0.7857734853615618,0.5715469707231235,0.6520731664181947,-0.08052619569507113
ensemble_lightgbm_xgboost_catboost,83,10,7295,156,7139,0.021384509938313912,0.8227073388860754,0.6454146777721508,0.6548234614905292,-0.009408783718378388
ensemble_lightgbm_xgboost_catboost,84,11,9721,216,9505,0.022219936220553443,0.800852621427319,0.6017052428546379,0.6575737565628635,-0.05586851370822565
ensemble_lightgbm_xgboost_catboost,85,12,16239,308,15931,0.018966685140710635,0.8512597345533133,0.7025194691066265,0.660324051635198,0.04219541747142852
ensemble_lightgbm_xgboost_catboost,86,13,15630,277,15353,0.017722328854766475,0.864428006050629,0.7288560121012579,0.6630743467075325,0.06578166539372543
ensemble_lightgbm_xgboost_catboost,87,14,17886,329,17557,0.018394274851839428,0.8542693680488026,0.7085387360976052,0.665824641779867,0.042714094317738205
ensemble_lightgbm_xgboost_catboost,88,15,14234,265,13969,0.018617394969790643,0.8461944710457252,0.6923889420914504,0.6685749368522014,0.023814005239249036
ensemble_lightgbm_xgboost_catboost,89,16,13600,309,13291,0.022720588235294117,0.8264126952589034,0.6528253905178067,0.6713252319245359,-0.01849984140672911
ensemble_lightgbm_xgboost_catboost,90,17,12103,330,11773,0.027265967115591174,0.8192314721151891,0.6384629442303782,0.6740755269968703,-0.03561258276649215
ensemble_lightgbm_xgboost_catboost,91,18,12674,288,12386,0.02272368628688654,0.851823070850602,0.7036461417012041,0.6768258220692048,0.026820319631999268
ensemble_lightgbm_catboost_extra_trees,73,0,8687,189,8498,0.021756647864625302,0.8088401752793374,0.6176803505586748,0.5907747033301187,0.02690564722855604
ensemble_lightgbm_catboost_extra_trees,74,1,11280,303,10977,0.026861702127659575,0.7920109584065813,0.5840219168131626,0.5927487716511548,-0.008726854837992182
ensemble_lightgbm_catboost_extra_trees,75,2,13656,290,13366,0.02123608670181605,0.7994076581341231,0.5988153162682461,0.594722839972191,0.004092476296055136
ensemble_lightgbm_catboost_extra_trees,76,3,10261,255,10006,0.024851379007893967,0.8169611958315206,0.6339223916630412,0.5966969082932271,0.03722548336981413
ensemble_lightgbm_catboost_extra_trees,77,4,7754,197,7557,0.025406241939644053,0.7846505307547578,0.5693010615095155,0.5986709766142633,-0.029369915104747735
ensemble_lightgbm_catboost_extra_trees,78,5,8755,195,8560,0.02227298686464877,0.8263515456506112,0.6527030913012224,0.6006450449352994,0.05205804636592304
ensemble_lightgbm_catboost_extra_trees,79,6,5158,112,5046,0.021713842574641335,0.8049622048581621,0.6099244097163241,0.6026191132563355,0.007305296459988564
ensemble_lightgbm_catboost_extra_trees,80,7,6246,120,6126,0.01921229586935639,0.7804263249537491,0.5608526499074982,0.6045931815773716,-0.04374053166987346
ensemble_lightgbm_catboost_extra_trees,81,8,6743,188,6555,0.02788076523802462,0.7866295015985849,0.5732590031971698,0.6065672498984078,-0.033308246701238
ensemble_lightgbm_catboost_extra_trees,82,9,5423,122,5301,0.022496773003872397,0.7607333599289958,0.5214667198579916,0.6085413182194439,-0.08707459836145226
ensemble_lightgbm_catboost_extra_trees,83,10,7295,156,7139,0.021384509938313912,0.8037773731148155,0.6075547462296309,0.61051538654048,-0.002960640310849083
ensemble_lightgbm_catboost_extra_trees,84,11,9721,216,9505,0.022219936220553443,0.7841623317162506,0.5683246634325012,0.6124894548615162,-0.04416479142901497
ensemble_lightgbm_catboost_extra_trees,85,12,16239,308,15931,0.018966685140710635,0.8181212892938459,0.6362425785876917,0.6144635231825523,0.02177905540513947
ensemble_lightgbm_catboost_extra_trees,86,13,15630,277,15353,0.017722328854766475,0.8418362008295279,0.6836724016590559,0.6164375915035885,0.0672348101554674
ensemble_lightgbm_catboost_extra_trees,87,14,17886,329,17557,0.018394274851839428,0.825735818704617,0.651471637409234,0.6184116598246245,0.033059977584609435
ensemble_lightgbm_catboost_extra_trees,88,15,14234,265,13969,0.018617394969790643,0.8215209689379583,0.6430419378759167,0.6203857281456607,0.02265620973025595
