feature,bin,total,bad,good,dist_good,dist_bad,woe,iv_component,iv,coefficient,log_odds_contribution,points
INS_PAYMENT_DIFF_MEAN,"(-1426.948, 196.096]",104751,7692,97059,0.5722358642686799,0.5163271470282244,0.10281068605351817,0.005748013575863394,0.04969919303482176,-0.11615174348804787,-0.011941640434318463,29
INS_PAYMENT_DIFF_MEAN,"(196.096, 432.129]",11227,1023,10204,0.060162898808769294,0.06869819109306306,-0.13266700489163283,0.0011323516632319173,0.04969919303482176,-0.11615174348804787,0.015409503921500528,27
INS_PAYMENT_DIFF_MEAN,"(432.129, 869.523]",13974,1392,12582,0.07418292657762161,0.09346578514615565,-0.2310614113944376,0.004455524516564799,0.04969919303482176,-0.11615174348804787,0.026838185786273016,27
INS_PAYMENT_DIFF_MEAN,"(869.523, 1557.255]",12098,1289,10809,0.06372981083574812,0.08655233748363929,-0.3060968474703941,0.006985903458228548,0.04969919303482176,-0.11615174348804787,0.035553682509881335,26
INS_PAYMENT_DIFF_MEAN,"(1557.255, inf]",18313,2095,16218,0.09561977307364641,0.14065174346410714,-0.38590730063733053,0.017378166135762894,0.04969919303482176,-0.11615174348804787,0.044823805793792186,25
INS_PAYMENT_DIFF_MEAN,MISSING,9427,554,8873,0.05231569234941588,0.03721851193073128,0.34049010094068416,0.0051404404846776405,0.04969919303482176,-0.11615174348804787,-0.03954851886468187,31
FLOORSMAX_AVG,"(-inf, 0.118]",15169,1362,13807,0.08140542643885529,0.09145522888978386,-0.11640761612875568,0.0011698735458775208,0.036017146050206526,-0.10178521659327482,0.011848574420772187,28
FLOORSMAX_AVG,"(0.118, 0.168]",41848,3069,38779,0.2286338391878029,0.20603436702913142,0.10407878323533375,0.0023521255640353285,0.036017146050206526,-0.10178521659327482,-0.010593681494372946,29
FLOORSMAX_AVG,"(0.168, 0.366]",23755,1464,22291,0.13142488237999223,0.09830178547456034,0.29039326123224635,0.009618724132480093,0.036017146050206526,-0.10178521659327482,-0.029557740991751628,30
FLOORSMAX_AVG,"(0.366, 0.474]",7356,399,6957,0.04101960923037013,0.026815679957041212,0.42506343682701714,0.006037570993369067,0.036017146050206526,-0.10178521659327482,-0.04326517398331973,31
FLOORSMAX_AVG,"(0.474, inf]",4705,217,4488,0.026463027816100087,0.01459927507047926,0.594776707301305,0.007056283794277173,0.036017146050206526,-0.10178521659327482,-0.060539475977298154,32
FLOORSMAX_AVG,MISSING,91673,8384,83289,0.49105321494687937,0.5627936635790038,-0.13636056376411942,0.009782568020167344,0.036017146050206526,-0.10178521659327482,0.013879489517511957,27
FLOORSMAX_MEDI,"(-inf, 0.115]",15143,1355,13788,0.08129340738382444,0.09098536716337763,-0.11263376990870086,0.0010916419677745766,0.035783042201775965,-0.09143117689631834,0.010298238141021645,28
FLOORSMAX_MEDI,"(0.115, 0.198]",42892,3143,39749,0.23435270673411393,0.21100147670828298,0.1049621421971993,0.0024509951264507783,0.035783042201775965,-0.09143117689631834,-0.00959681219064865,29
