feature,coefficient,importance,importance_pct
missingindicator_STATIC_CB_0__firstquarter_103L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_CREDIT_BUREAU_A_1__debtoutstand_525A__MEAN,0.002426974,0.002426974,0.0013680789165232646
missingindicator_CREDIT_BUREAU_A_1__debtoverdue_47A__MEAN,0.002426974,0.002426974,0.0013680789165232646
missingindicator_STATIC_CB_0__days90_310L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_STATIC_CB_0__days360_512L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_STATIC_CB_0__days120_123L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_STATIC_CB_0__days180_256L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_CREDIT_BUREAU_A_1__debtoutstand_525A__MAX,0.002426974,0.002426974,0.0013680789165232646
missingindicator_CREDIT_BUREAU_A_1__debtoverdue_47A__MAX,0.002426974,0.002426974,0.0013680789165232646
missingindicator_STATIC_CB_0__days30_165L,0.002426974,0.002426974,0.0013680789165232646
missingindicator_CREDIT_BUREAU_A_2__collaterals_typeofguarante_359M__NUNIQUE,0.0023467222,0.0023467222,0.0013228411860848495
missingindicator_CREDIT_BUREAU_A_2__collater_typofvalofguarant_298M__NUNIQUE,0.0023467222,0.0023467222,0.0013228411860848495
missingindicator_CREDIT_BUREAU_A_2__ROW_COUNT,0.0023467222,0.0023467222,0.0013228411860848495
missingindicator_CREDIT_BUREAU_A_2__collaterals_typeofguarante_669M__NUNIQUE,0.0023467222,0.0023467222,0.0013228411860848495
missingindicator_CREDIT_BUREAU_A_2__collater_typofvalofguarant_407M__NUNIQUE,0.0023467222,0.0023467222,0.0013228411860848495
DEPOSIT_1__openingdate_313D__MIN_GAP,0.0020727324,0.0020727324,0.0011683938501338151
STATIC_0__downpmt_116A,0.0019581574,0.0019581574,0.001103808221338182
DEBITCARD_1__last180dayturnover_1134A__MEAN,-0.0019535027,0.0019535027,0.001101184379083283
DEBITCARD_1__last180dayturnover_1134A__MAX,-0.0019533972,0.0019533972,0.0011011249090083284
PERSON_1__contaddr_zipcode_807M__NUNIQUE,-0.001953125,0.001953125,0.0011009714705779712
PERSON_1__contaddr_district_15M__NUNIQUE,-0.001953125,0.001953125,0.0011009714705779712
CREDIT_BUREAU_A_2__collater_valueofguarantee_876L__MEAN,-0.0019478025,0.0019478025,0.0010979711912040698
missingindicator_STATIC_0__avgdpdtolclosure24_3658938P,-0.0019398913,0.0019398913,0.0010935116683890751
missingindicator_OTHER_1__amtdebitoutgoing_4809440A__MAX,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdebitincoming_4809443A__MAX,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__ROW_COUNT,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdebitincoming_4809443A__MEAN,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdepositincoming_4809444A__MEAN,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdepositoutgoing_4809442A__MAX,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdepositbalance_4809441A__MAX,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdepositbalance_4809441A__MEAN,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdepositincoming_4809444A__MAX,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_OTHER_1__amtdebitoutgoing_4809440A__MEAN,-0.0017912389,0.0017912389,0.0010097166980554074
missingindicator_CREDIT_BUREAU_A_1__ROW_COUNT,0.0016749175,0.0016749175,0.0009441466281327509
missingindicator_PERSON_2__empls_employedfrom_796D__MIN_GAP,-0.0015990918,0.0015990918,0.0009014038787252096
missingindicator_PERSON_2__empls_employedfrom_796D__MAX_GAP,-0.0015990918,0.0015990918,0.0009014038787252096
CREDIT_BUREAU_B_2__pmts_date_1107D__MIN_GAP,0.0014422175,0.0014422175,0.000812974244796562
