feature,WEEK_NUM,iv,iv_cv
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,10,0.2539021650929334,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,11,0.14055452917896757,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,12,0.005766286666430829,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,13,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,14,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,15,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,16,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,17,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,18,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,19,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,20,0.0,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,21,0.22114006457922636,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,22,0.5008049685618028,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,23,0.4507975079088964,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,24,0.3471800055248235,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,25,0.3627712433028049,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,26,0.5137194650204001,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,27,0.3884960752249787,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,28,0.30950032185603016,0.7618306290545118
CREDIT_BUREAU_A_2__pmts_dpd_303P__MEAN,29,0.5108248874671676,0.7618306290545118
